2021-05-13-14.22.11 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.22.19 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.22.27 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.22.35 - Current temp: 52.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.22.43 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.22.51 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.22.59 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.23.07 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.23.15 - Current temp: 52.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.23.23 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.23.31 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.23.39 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.23.47 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.23.55 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.24.03 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.24.11 - Current temp: 51.937500, Set point: 51.000000, Relay: Off
2021-05-13-14.24.19 - Current temp: 51.875000, Set point: 51.000000, Relay: Off
2021-05-13-14.24.27 - Current temp: 51.875000, Set point: 51.000000, Relay: Off
2021-05-13-14.24.35 - Current temp: 51.875000, Set point: 51.000000, Relay: Off
2021-05-13-14.24.43 - Current temp: 51.875000, Set point: 51.000000, Relay: Off
